NC_000913, Escherichia coli (NC_000913)
NC_016816, Pantoea ananatis (NC_016816)
NC_016826, Streptococcus infantarius (NC_016826)
NC_016830, Pseudomonas fluorescens (NC_016830)
NC_016831, Salmonella enterica (NC_016831)
NC_016832, Salmonella enterica (NC_016832)
NC_016854, Salmonella enterica (NC_016854)
NC_016856, Salmonella enterica (NC_016856)
NC_016857, Salmonella enterica (NC_016857)
NC_016860, Salmonella enterica (NC_016860)
NC_016863, Salmonella enterica (NC_016863)
NC_016887, Nocardia cyriacigeorgica (NC_016887)
NC_016894, Acetobacterium woodii (NC_016894)
NC_016906, Gordonia polyisoprenivorans (NC_016906)
NC_016935, Paenibacillus mucilaginosus (NC_016935)
NC_016943, Blastococcus saxobsidens (NC_016943)
NC_016946, Mycobacterium intracellulare (NC_016946)
NC_016947, Mycobacterium intracellulare (NC_016947)
NC_016948, Mycobacterium paraintracellulare (NC_016948)
NC_017030, Corallococcus coralloides (NC_017030)
NC_017031, Corynebacterium pseudotuberculosis (NC_017031)
NC_017046, Salmonella enterica (NC_017046)
NC_017047, Rahnella aquatilis (NC_017047)
NC_017059, Pararhodospirillum photometricum (NC_017059)
NC_017061, Bacillus velezensis (NC_017061)
NC_017082, Bradyrhizobium sp. (NC_017082)
NC_017093, Actinoplanes missouriensis (NC_017093)
NC_017094, Leptospirillum ferrooxidans (NC_017094)
NC_017095, Fervidobacterium pennivorans (NC_017095)
NC_017100, Acetobacter pasteurianus (NC_017100)
NC_017108, Acetobacter pasteurianus (NC_017108)
NC_017111, Acetobacter pasteurianus (NC_017111)
NC_017121, Acetobacter pasteurianus (NC_017121)
NC_017125, Acetobacter pasteurianus (NC_017125)
NC_017146, Acetobacter pasteurianus (NC_017146)
NC_017150, Acetobacter pasteurianus (NC_017150)
NC_017161, Hydrogenobacter thermophilus (NC_017161)
NC_017168, Yersinia pestis (NC_017168)
NC_017188, Bacillus amyloliquefaciens (NC_017188)
NC_017190, Bacillus amyloliquefaciens (NC_017190)
NC_017191, Bacillus amyloliquefaciens (NC_017191)
NC_017195, Bacillus subtilis (NC_017195)
NC_017196, Bacillus subtilis (NC_017196)
NC_017200, Bacillus thuringiensis (NC_017200)
NC_017208, Bacillus thuringiensis (NC_017208)
NC_017246, Brucella melitensis (NC_017246)
NC_017247, Brucella melitensis (NC_017247)
NC_017249, Bradyrhizobium japonicum (NC_017249)
NC_017295, Clostridium acetobutylicum (NC_017295)
NC_017299, Clostridium botulinum (NC_017299)
NC_017300, Corynebacterium pseudotuberculosis (NC_017300)
NC_017310, Desulfovibrio vulgaris (NC_017310)
NC_017317, Corynebacterium ulcerans (NC_017317)
NC_017322, Sinorhizobium meliloti (NC_017322)
NC_017325, Sinorhizobium meliloti (NC_017325)
NC_017384, Ketogulonicigenium vulgare (NC_017384)
NC_017390, Erwinia pyrifoliae (NC_017390)
NC_017445, Erwinia sp. (NC_017445)
NC_017449, Francisella cf. (NC_017449)
NC_017450, Francisella cf. (NC_017450)
NC_017454, Geobacter sulfurreducens (NC_017454)
NC_017529, Listeria monocytogenes (NC_017529)
NC_017530, Pseudomonas putida (NC_017530)
NC_017531, Pantoea ananatis (NC_017531)
NC_017532, Pseudomonas stutzeri (NC_017532)
NC_017537, Listeria monocytogenes (NC_017537)
NC_017542, Paenibacillus polymyxa (NC_017542)
NC_017544, Listeria monocytogenes (NC_017544)
NC_017545, Listeria monocytogenes (NC_017545)
NC_017546, Listeria monocytogenes (NC_017546)
NC_017547, Listeria monocytogenes (NC_017547)
NC_017548, Pseudomonas aeruginosa (NC_017548)
NC_017549, Pseudomonas aeruginosa (NC_017549)
NC_017551, Leptospira interrogans (NC_017551)
NC_017559, Ralstonia solanacearum (NC_017559)
NC_017574, Ralstonia solanacearum (NC_017574)
NC_017644, Escherichia coli (NC_017644)
NC_017651, Escherichia coli (NC_017651)
NC_017664, Escherichia coli (NC_017664)
NC_017668, Halobacillus halophilus (NC_017668)
NC_017671, Stenotrophomonas maltophilia (NC_017671)
NC_017672, Paenibacillus mucilaginosus (NC_017672)
NC_017729, Bacillus anthracis (NC_017729)
NC_017743, Bacillus sp. (NC_017743)
NC_017765, Streptomyces hygroscopicus (NC_017765)
NC_017770, Solitalea canadensis (NC_017770)
NC_017790, Deinococcus gobiensis (NC_017790)
NC_017803, Actinoplanes sp. (NC_017803)
NC_017845, Pectobacterium parmentieri (NC_017845)
NC_017911, Pseudomonas fluorescens (NC_017911)
NC_017912, Bacillus amyloliquefaciens (NC_017912)
NC_017920, Burkholderia sp. (NC_017920)
NC_017921, Burkholderia sp. (NC_017921)
NC_017922, Burkholderia sp. (NC_017922)
NC_017955, Modestobacter marinus (NC_017955)
NC_017964, Advenella kashmirensis (NC_017964)
NC_017986, Pseudomonas putida (NC_017986)
NC_018000, Sinorhizobium fredii (NC_018000)
NC_018002, Sulfurospirillum barnesii (NC_018002)
NC_018014, Terriglobus roseus (NC_018014)
NC_018017, Desulfitobacterium dehalogenans (NC_018017)
NC_018027, Mycobacterium chubuense (NC_018027)
NC_018028, Pseudomonas stutzeri (NC_018028)
NC_018065, Solibacillus silvestris (NC_018065)
NC_018068, Desulfosporosinus acidiphilus (NC_018068)
NC_018079, Enterobacter cloacae (NC_018079)
NC_018080, Pseudomonas aeruginosa (NC_018080)
NC_018139, Legionella pneumophila (NC_018139)
NC_018140, Legionella pneumophila (NC_018140)
NC_018143, Mycobacterium tuberculosis (NC_018143)
NC_018150, Mycobacterium abscessus (NC_018150)
NC_018177, Pseudomonas stutzeri (NC_018177)
NC_018266, Amycolatopsis mediterranei (NC_018266)
NC_018289, Mycobacterium smegmatis (NC_018289)
NC_018485, Methylocystis sp. (NC_018485)
NC_018491, Bacillus cereus (NC_018491)
NC_018500, Bacillus thuringiensis (NC_018500)
NC_018508, Bacillus thuringiensis (NC_018508)
NC_018513, Burkholderia cepacia (NC_018513)
NC_018515, Desulfosporosinus meridiei (NC_018515)
NC_018525, Pectobacterium carotovorum (NC_018525)
NC_018527, Burkholderia pseudomallei (NC_018527)
NC_018529, Burkholderia pseudomallei (NC_018529)
NC_018581, Gordonia sp. (NC_018581)
NC_018584, Listeria monocytogenes (NC_018584)
NC_018585, Listeria monocytogenes (NC_018585)
NC_018586, Listeria monocytogenes (NC_018586)
NC_018587, Listeria monocytogenes (NC_018587)
NC_018588, Listeria monocytogenes (NC_018588)
NC_018589, Listeria monocytogenes (NC_018589)
NC_018591, Listeria monocytogenes (NC_018591)
NC_018593, Listeria monocytogenes (NC_018593)
NC_018609, Riemerella anatipestifer (NC_018609)
NC_018624, Chlamydia psittaci (NC_018624)
NC_018642, Listeria monocytogenes (NC_018642)
NC_018649, Leptospirillum ferriphilum (NC_018649)
NC_018664, Gottschalkia acidurici (NC_018664)
NC_018672, Paraburkholderia phenoliruptrix (NC_018672)
NC_018681, Nocardia brasiliensis (NC_018681)
NC_018693, Bacillus thuringiensis (NC_018693)
NC_018695, Paraburkholderia phenoliruptrix (NC_018695)
NC_018700, Sinorhizobium meliloti (NC_018700)
NC_018704, Amphibacillus xylanus (NC_018704)
NC_018708, Acidovorax sp. (NC_018708)
NC_018709, Campylobacter jejuni (NC_018709)
NC_018750, Streptomyces venezuelae (NC_018750)
NC_018866, Dehalobacter sp. (NC_018866)
NC_018867, Dehalobacter sp. (NC_018867)
NC_018877, Bacillus thuringiensis (NC_018877)
NC_019382, Bordetella bronchiseptica (NC_019382)
NC_019567, Bdellovibrio bacteriovorus (NC_019567)
NC_019670, Pseudomonas sp. (NC_019670)
NC_019673, Saccharothrix espanaensis (NC_019673)
NC_019676, Nostoc sp. (NC_019676)
NC_019678, Rivularia sp. (NC_019678)
NC_019680, Synechococcus sp. (NC_019680)
NC_019683, Leptolyngbya sp. (NC_019683)
NC_019689, Pleurocapsa sp. (NC_019689)
NC_019693, Oscillatoria acuminata (NC_019693)
NC_019695, Chroococcidiopsis thermalis (NC_019695)
NC_019701, Pseudanabaena sp. (NC_019701)
NC_019702, Synechococcus sp. (NC_019702)
NC_019703, Geitlerinema sp. (NC_019703)
NC_019729, Oscillatoria nigro-viridis (NC_019729)
NC_019738, Microcoleus sp. (NC_019738)
NC_019745, Gloeocapsa sp. (NC_019745)
NC_019748, Stanieria cyanosphaera (NC_019748)
NC_019757, Cylindrospermum stagnale (NC_019757)
NC_019776, Cyanobacterium aponinum (NC_019776)
NC_019780, Dactylococcopsis salina (NC_019780)
NC_019793, Deinococcus peraridilitoris (NC_019793)
NC_019842, Bacillus velezensis (NC_019842)
NC_019845, Sinorhizobium meliloti (NC_019845)
NC_019892, Singulisphaera acidiphila (NC_019892)
NC_019897, Thermobacillus composti (NC_019897)
NC_019903, Desulfitobacterium dichloroeliminans (NC_019903)
NC_019936, Pseudomonas stutzeri (NC_019936)
NC_019973, Mesorhizobium australicum (NC_019973)
NC_020059, Rhizobium tropici (NC_020059)
NC_020089, Mycobacterium tuberculosis (NC_020089)
NC_020126, Myxococcus stipitatus (NC_020126)
NC_020164, Staphylococcus warneri (NC_020164)
NC_020207, Enterococcus faecium (NC_020207)
NC_020209, Pseudomonas poae (NC_020209)
NC_020210, Geobacillus sp. (NC_020210)
NC_020211, Serratia marcescens (NC_020211)
NC_020238, Bacillus thuringiensis (NC_020238)
NC_020244, Bacillus subtilis (NC_020244)
NC_020272, Bacillus amyloliquefaciens (NC_020272)
NC_020291, Clostridium saccharoperbutylacetonicum (NC_020291)
NC_020302, Corynebacterium halotolerans (NC_020302)
NC_020376, Bacillus thuringiensis (NC_020376)
NC_020386, Dehalococcoides mccartyi (NC_020386)
NC_020387, Dehalococcoides mccartyi (NC_020387)
NC_020417, beta proteobacterium (NC_020417)
NC_020418, Morganella morganii (NC_020418)
NC_020453, Bradyrhizobium oligotrophicum (NC_020453)
NC_020504, Streptomyces davawensis (NC_020504)
NC_020506, Corynebacterium callunae (NC_020506)
NC_020507, Bacillus subtilis (NC_020507)
NC_020516, Azoarcus sp. (NC_020516)
NC_020519, Corynebacterium glutamicum (NC_020519)
NC_020520, Ilumatobacter coccineus (NC_020520)
NC_020528, Sinorhizobium meliloti (NC_020528)
NC_020541, Rhodanobacter denitrificans (NC_020541)
NC_020561, Sphingomonas sp. (NC_020561)
NC_020799, Ralstonia solanacearum (NC_020799)
NC_020812, Micavibrio aeruginosavorus (NC_020812)
NC_020813, Bdellovibrio exovorus (NC_020813)
NC_020829, Pseudomonas sp. (NC_020829)
NC_020832, Bacillus subtilis (NC_020832)
NC_020887, Clostridium stercorarium (NC_020887)
NC_020895, Streptomyces hygroscopicus (NC_020895)
NC_020912, Pseudomonas aeruginosa (NC_020912)
NC_020990, Streptomyces albus (NC_020990)
NC_021055, Streptomyces sp. (NC_021055)
NC_021066, Raoultella ornithinolytica (NC_021066)
NC_021149, Azotobacter vinelandii (NC_021149)
NC_021150, Azotobacter vinelandii (NC_021150)
NC_021171, Bacillus sp. (NC_021171)
NC_021172, Hyphomicrobium denitrificans (NC_021172)
NC_021173, Burkholderia thailandensis (NC_021173)
NC_021174, Burkholderia thailandensis (NC_021174)
NC_021176, Salmonella enterica (NC_021176)
NC_021177, Streptomyces fulvissimus (NC_021177)
NC_021182, Clostridium pasteurianum (NC_021182)
NC_021184, Desulfotomaculum gibsoniae (NC_021184)
NC_021191, Actinoplanes sp. (NC_021191)
NC_021200, Mycobacterium avium (NC_021200)
NC_021237, Pseudomonas protegens (NC_021237)
NC_021362, Bacillus paralicheniformis (NC_021362)
NC_021487, Chthonomonas calidirosea (NC_021487)
NC_021491, Pseudomonas putida (NC_021491)
NC_021500, Enterobacter sp. (NC_021500)
NC_021577, Pseudomonas aeruginosa (NC_021577)
NC_021591, Serratia plymuthica (NC_021591)
NC_021658, Sorangium cellulosum (NC_021658)
NC_021659, Serratia plymuthica (NC_021659)
NC_021663, Corynebacterium terpenotabidum (NC_021663)
NC_021726, Acinetobacter baumannii (NC_021726)
NC_021729, Acinetobacter baumannii (NC_021729)
NC_021733, Acinetobacter baumannii (NC_021733)
NC_021741, Serratia liquefaciens (NC_021741)
NC_021831, Mycoplasma hyopneumoniae (NC_021831)
NC_021902, Salmonella enterica (NC_021902)
NC_021905, Rhizobium etli (NC_021905)
NC_021985, Streptomyces collinus (NC_021985)
NC_021991, Acetobacter pasteurianus (NC_021991)
NC_022000, Proteus mirabilis (NC_022000)
NC_022041, Paracoccus aminophilus (NC_022041)
NC_022080, Geobacillus genomosp. (NC_022080)
NC_022081, Bacillus velezensis (NC_022081)
NC_022115, Rhodococcus erythropolis (NC_022115)
NC_022247, Variovorax paradoxus (NC_022247)
NC_022443, Staphylococcus aureus (NC_022443)
NC_022513, Ralstonia pickettii (NC_022513)
NC_022514, Ralstonia pickettii (NC_022514)
NC_022515, Ralstonia pickettii (NC_022515)
NC_022566, Klebsiella pneumoniae (NC_022566)
NC_022571, Clostridium saccharobutylicum (NC_022571)
NC_022653, Bacillus amyloliquefaciens (NC_022653)
NC_022657, Actinoplanes friuliensis (NC_022657)
NC_022660, Campylobacter coli (NC_022660)
NC_022663, Mycobacterium kansasii (NC_022663)
NC_022738, Pseudomonas sp. (NC_022738)
NC_022781, Bacillus toyonensis (NC_022781)
NC_022794, Exiguobacterium sp. (NC_022794)
NC_022795, Pseudothermotoga hypogea (NC_022795)
NC_022873, Bacillus thuringiensis (NC_022873)
NC_022904, Pandoraea pnomenusa (NC_022904)
NC_022964, Dehalococcoides mccartyi (NC_022964)
NC_022997, Hyphomicrobium nitrativorans (NC_022997)
NC_023019, Pseudomonas aeruginosa (NC_023019)
NC_023037, Paenibacillus polymyxa (NC_023037)
NC_023064, Pseudomonas sp. (NC_023064)
NC_023073, Bacillus amyloliquefaciens (NC_023073)
NC_023075, Pseudomonas monteilii (NC_023075)
NC_023076, Pseudomonas monteilii (NC_023076)
NC_023149, Pseudomonas aeruginosa (NC_023149)
NZ_CM001165, Streptomyces sp. (NZ_CM001165)
NZ_CM001763, Pseudomonas syringae (NZ_CM001763)
NZ_CM002024, Agrobacterium tumefaciens (NZ_CM002024)
NZ_CM002025, Agrobacterium tumefaciens (NZ_CM002025)
NZ_CM002139, Xanthomonas cassavae (NZ_CM002139)
NZ_CM002177, Rhodococcus aetherivorans (NZ_CM002177)
NZ_CM002330, Pseudomonas moraviensis (NZ_CM002330)
NZ_CM002395, Bacillus anthracis (NZ_CM002395)
NZ_CM002398, Bacillus anthracis (NZ_CM002398)
NZ_CM002401, Bacillus anthracis (NZ_CM002401)
NZ_CM002755, Ralstonia solanacearum (NZ_CM002755)
NZ_CM002757, Ralstonia solanacearum (NZ_CM002757)
NZ_CM002796, Mesorhizobium ciceri (NZ_CM002796)
NZ_CP001970, Bacillus anthracis (NZ_CP001970)
NZ_CP001974, Bacillus anthracis (NZ_CP001974)
NZ_CP002190, Bdellovibrio bacteriovorus (NZ_CP002190)
NZ_CP002871, Mycobacterium tuberculosis (NZ_CP002871)
NZ_CP003181, Granulibacter bethesdensis (NZ_CP003181)
NZ_CP003915, Advenella mimigardefordensis (NZ_CP003915)
NZ_CP003923, Bacillus lehensis (NZ_CP003923)
NZ_CP003949, Rhodococcus opacus (NZ_CP003949)
NZ_CP003999, Klebsiella pneumoniae (NZ_CP003999)
NZ_CP004078, Paenibacillus sabinae (NZ_CP004078)
NZ_CP004383, Burkholderia thailandensis (NZ_CP004383)
NZ_CP004384, Burkholderia thailandensis (NZ_CP004384)
NZ_CP004870, Bacillus thuringiensis (NZ_CP004870)
NZ_CP006581, Mesorhizobium huakuii (NZ_CP006581)
NZ_CP006587, Hymenobacter sp. (NZ_CP006587)
NZ_CP006644, Sphingomonas sanxanigenens (NZ_CP006644)
NZ_CP006696, Xylella fastidiosa (NZ_CP006696)
NZ_CP006742, Bacillus anthracis (NZ_CP006742)
NZ_CP006772, Bacteroidales bacterium (NZ_CP006772)
NZ_CP006850, Nocardia nova (NZ_CP006850)
NZ_CP006872, Paenibacillus polymyxa (NZ_CP006872)
NZ_CP006890, Bacillus velezensis (NZ_CP006890)
NZ_CP006961, Brucella suis (NZ_CP006961)
NZ_CP006962, Brucella suis (NZ_CP006962)
NZ_CP006983, Pseudomonas aeruginosa (NZ_CP006983)
NZ_CP006986, Rhizobium sp. (NZ_CP006986)
NZ_CP007033, Dehalobacter restrictus (NZ_CP007033)
NZ_CP007039, Pseudomonas cichorii (NZ_CP007039)
NZ_CP007044, Chania multitudinisentens (NZ_CP007044)
NZ_CP007045, Rhizobium leguminosarum (NZ_CP007045)
NZ_CP007067, Rhizobium leguminosarum (NZ_CP007067)
NZ_CP007139, Fimbriimonas ginsengisoli (NZ_CP007139)
NZ_CP007155, Kutzneria albida (NZ_CP007155)
NZ_CP007172, Listeria ivanovii (NZ_CP007172)
NZ_CP007201, Sulfurospirillum multivorans (NZ_CP007201)
NZ_CP007208, Staphylococcus xylosus (NZ_CP007208)
NZ_CP007225, Agrobacterium tumefaciens (NZ_CP007225)
NZ_CP007226, Agrobacterium tumefaciens (NZ_CP007226)
NZ_CP007230, Yersinia similis (NZ_CP007230)
NZ_CP007236, Ensifer adhaerens (NZ_CP007236)
NZ_CP007237, Ensifer adhaerens (NZ_CP007237)
NZ_CP007243, Leptospirillum ferriphilum (NZ_CP007243)
NZ_CP007409, Bacillus subtilis (NZ_CP007409)
NZ_CP007410, Pseudomonas brassicacearum (NZ_CP007410)
NZ_CP007441, Pseudomonas stutzeri (NZ_CP007441)
NZ_CP007452, Peptoclostridium acidaminophilum (NZ_CP007452)
NZ_CP007481, Neorickettsia helminthoeca (NZ_CP007481)
NZ_CP007492, Listeria monocytogenes (NZ_CP007492)
NZ_CP007499, Staphylococcus aureus (NZ_CP007499)
NZ_CP007506, Pandoraea pnomenusa (NZ_CP007506)
NZ_CP007514, Rubrobacter radiotolerans (NZ_CP007514)
NZ_CP007546, Enterobacter asburiae (NZ_CP007546)
NZ_CP007557, Citrobacter freundii (NZ_CP007557)
NZ_CP007569, Bradyrhizobium japonicum (NZ_CP007569)
NZ_CP007574, Streptomyces albulus (NZ_CP007574)
NZ_CP007597, Stenotrophomonas rhizophila (NZ_CP007597)
NZ_CP007600, Listeria monocytogenes (NZ_CP007600)
NZ_CP007607, Bacillus thuringiensis (NZ_CP007607)
NZ_CP007618, Bacillus anthracis (NZ_CP007618)
NZ_CP007620, Pseudomonas putida (NZ_CP007620)
NZ_CP007627, Flavobacterium psychrophilum (NZ_CP007627)
NZ_CP007638, Pseudomonas sp. (NZ_CP007638)
NZ_CP007656, Bdellovibrio bacteriovorus (NZ_CP007656)
NZ_CP007662, Brucella abortus (NZ_CP007662)
NZ_CP007663, Brucella abortus (NZ_CP007663)
NZ_CP007666, Bacillus anthracis (NZ_CP007666)
NZ_CP007680, Brucella abortus (NZ_CP007680)
NZ_CP007681, Brucella abortus (NZ_CP007681)
NZ_CP007704, Bacillus anthracis (NZ_CP007704)
NZ_CP007705, Brucella abortus (NZ_CP007705)
NZ_CP007706, Brucella abortus (NZ_CP007706)
NZ_CP007739, Bacillus methanolicus (NZ_CP007739)
NZ_CP007764, Brucella abortus (NZ_CP007764)
NZ_CP007765, Brucella abortus (NZ_CP007765)
NZ_CP007782, Burkholderia cenocepacia (NZ_CP007782)
NZ_CP007783, Burkholderia cenocepacia (NZ_CP007783)
NZ_CP007784, Burkholderia cenocepacia (NZ_CP007784)
NZ_CP007785, Burkholderia cepacia (NZ_CP007785)
NZ_CP007786, Burkholderia cepacia (NZ_CP007786)
NZ_CP007787, Burkholderia cepacia (NZ_CP007787)
NZ_CP007788, Brucella melitensis (NZ_CP007788)
NZ_CP007789, Brucella melitensis (NZ_CP007789)
NZ_CP007793, Azospirillum brasilense (NZ_CP007793)
NZ_CP007800, Bacillus subtilis (NZ_CP007800)
NZ_CP007803, Mycobacterium tuberculosis (NZ_CP007803)
NZ_CP008696, Pseudomonas chlororaphis (NZ_CP008696)
NZ_CP008698, Bacillus subtilis (NZ_CP008698)
NZ_CP008728, Burkholderia multivorans (NZ_CP008728)
NZ_CP008729, Burkholderia multivorans (NZ_CP008729)
NZ_CP008730, Burkholderia multivorans (NZ_CP008730)
NZ_CP008752, Bacillus anthracis (NZ_CP008752)
NZ_CP008760, Paraburkholderia xenovorans (NZ_CP008760)
NZ_CP008762, Paraburkholderia xenovorans (NZ_CP008762)
NZ_CP008841, Klebsiella michiganensis (NZ_CP008841)
NZ_CP008846, Bacillus anthracis (NZ_CP008846)
NZ_CP008852, Pelosinus sp. (NZ_CP008852)
NZ_CP008884, Dyella japonica (NZ_CP008884)
NZ_CP008896, Pseudomonas fluorescens (NZ_CP008896)
NZ_CP008920, Providencia stuartii (NZ_CP008920)
NZ_CP008923, Corynebacterium pseudotuberculosis (NZ_CP008923)
NZ_CP008926, Streptococcus pyogenes (NZ_CP008926)
NZ_CP008943, Yersinia pseudotuberculosis (NZ_CP008943)
NZ_CP008957, Escherichia coli (NZ_CP008957)
NZ_HF545616, Ruminococcus bicirculans (NZ_HF545616)
NZ_HF545617, Ruminococcus bicirculans (NZ_HF545617)
NZ_HG326223, Serratia marcescens (NZ_HG326223)
NZ_HG916852, Rhizobium favelukesii (NZ_HG916852)
NZ_HG938353, Neorhizobium galegae (NZ_HG938353)
NZ_HG938355, Neorhizobium galegae (NZ_HG938355)
